job_id,industry,required_skills,acceptable_majors,min_gpa,min_months_experience,min_academic_level,min_hours_per_week,min_length_of_commitment,job_in_person_commitment,min_num_publications,job_llm_output
J0001,Robotics,"['SLAM', 'ROS', 'PID Control', 'Control Systems', 'MuJoCo', 'Localization', 'Dynamics Modeling', 'Kalman Filters', 'Path Planning', 'Grasping']","['Computer Science', 'Statistics', 'Electrical Engineering']",2.06,5,UG2,15,1,Online,2,"As a Robotics Engineer, the candidate will be responsible for designing, implementing, and testing advanced robotics systems using SLAM, ROS, PID Control, and Control Systems. They will work on developing dynamic models, implementing Kalman Filters for localization, and creating path planning algorithms for autonomous navigation and grasping. Additionally, the candidate will collaborate with the team to improve MuJoCo simulations and optimize robot performance for various tasks."
J0002,Robotics,"['Robot Learning', 'Kalman Filters', 'Grasping', 'Control Systems', 'Navigation', 'Particle Filters', 'PID Control', 'ROS', 'Sensor Fusion', 'Dynamics Modeling']","['Computer Science', 'Applied Data Science', 'Applied Math']",2.61,9,UG2,22,2,In Person,1,"As a Robotics Engineer, the candidate will be responsible for designing, implementing, and testing advanced robot learning algorithms, focusing on improving grasping, navigation, and control systems. The successful candidate will work on developing robust sensor fusion techniques, including Kalman Filters and Particle Filters, to enhance the robot's perception and decision-making capabilities. Additionally, the engineer will contribute to the creation of dynamic models and the implementation of PID control systems to ensure the robot's stable and efficient operation."
J0003,Theory,"['Compressed Sensing', 'PAC Learning', 'Computational Complexity', 'Online Learning', 'High-Dimensional Statistics', 'Convex Optimization', 'Combinatorial Optimization', 'Optimization Theory', 'VC Dimension', 'Graph Theory']","['Applied Data Science', 'Electrical Engineering', 'Computer Science']",3.04,4,UG1,15,1,Online,0,"As a researcher in the field of Theory, the primary responsibility will be to advance the understanding of various mathematical and computational concepts. This will involve applying and developing techniques in Compressed Sensing, PAC Learning, Computational Complexity, Online Learning, High-Dimensional Statistics, Convex Optimization, Combinatorial Optimization, Optimization Theory, VC Dimension, and Graph Theory. The candidate will work on projects that aim to optimize algorithms, analyze their computational complexity, and apply these findings to real-world problems. Additionally, they will contribute to the development of new theoretical frameworks and methodologies to address challenges in these areas."
J0004,NLP,"['Text Generation', 'POS Tagging', 'Speech Recognition', 'Attention Mechanisms', 'Sentiment Analysis', 'Dialog Systems', 'Text Summarization', 'Machine Translation', 'Fine-tuning LLMs', 'GPT']","['Statistics', 'Electrical Engineering', 'Computer Science']",3.1,10,MS1,16,2,Hybrid,2,"As a Natural Language Processing (NLP) Engineer, you will be responsible for designing, developing, and implementing advanced NLP models to improve text generation, sentiment analysis, and machine translation capabilities. You will work on fine-tuning large language models (LLMs) such as GPT, incorporating attention mechanisms, and creating dialog systems that understand and respond to user queries effectively. Additionally, you will focus on speech recognition, POS tagging, and text summarization tasks to enhance the overall performance of our NLP systems."
J0005,Robotics,"['Kalman Filters', 'Control Systems', 'MuJoCo', 'Forward Kinematics', 'Motion Planning', 'Imitation Learning', 'V-REP', 'Robot Learning', 'Manipulation', 'PID Control']","['Computer Science', 'Electrical Engineering', 'Applied Data Science']",2.12,36,UG3,14,2,No Preference,0,"As a Robotics Engineer, you will be responsible for designing and implementing advanced control systems for robotic manipulators using Kalman Filters and PID Control. You will work on developing motion planning algorithms using MuJoCo and V-REP, as well as implementing imitation learning techniques for robot manipulation tasks. Additionally, you will focus on creating forward kinematics models for various robotic systems and integrating these models with your motion planning and control systems."
J0006,Theory,"['Linear Algebra', 'Statistical Learning Theory', 'High-Dimensional Statistics', 'Formal Methods', 'PAC Learning', 'Random Matrix Theory', 'Game Theory', 'Combinatorial Optimization', 'Graph Theory', 'Theoretical CS']","['Applied Data Science', 'Computer Science', 'Electrical Engineering']",3.8,8,MS1,32,1,In Person,0,"As a researcher in the field of theoretical computer science, the primary responsibility will be to conduct advanced research in various areas of mathematical theory, including linear algebra, statistical learning theory, high-dimensional statistics, formal methods, PAC learning, random matrix theory, game theory, combinatorial optimization, and graph theory. The candidate will develop and apply novel mathematical models and algorithms to solve complex problems in these areas. They will collaborate with other researchers, publish their findings in leading academic journals, and present their work at conferences and seminars."
J0007,Robotics,"['Sensor Fusion', 'MuJoCo', 'Grasping', 'Gazebo Simulation', 'Path Planning', 'Manipulation', 'Imitation Learning', 'Navigation', 'State Estimation', 'PID Control']","['Computer Science', 'Electrical Engineering', 'Applied Math']",3.75,0,UG1,35,2,In Person,1,"As a Robotics Engineer, you will be responsible for designing, developing, and implementing advanced sensor fusion algorithms for our robotic systems. Your primary focus will be on integrating MuJoCo, Grasping, and Gazebo Simulation into our robots to improve their performance in real-world scenarios. Additionally, you will work on developing path planning, manipulation, and navigation algorithms, as well as implementing state estimation and PID control systems to ensure the robots' smooth operation."
J0008,NLP,"['Sentiment Analysis', 'POS Tagging', 'Transformers', 'Text Generation', 'Information Extraction', 'Fine-tuning LLMs', 'Speech Recognition', 'Text Classification', 'Language Modeling', 'Machine Translation']","['Computer Science', 'Applied Data Science', 'Electrical Engineering']",2.28,10,MS1,34,4,No Preference,0,"As a Natural Language Processing (NLP) Engineer, you will be responsible for developing and implementing advanced machine learning models to analyze, classify, and generate human language data. You will work on tasks such as fine-tuning large language models (LLMs) for specific applications like sentiment analysis, text classification, and text generation. Additionally, you will focus on improving information extraction techniques, utilizing transformers, and enhancing speech recognition systems. Furthermore, you will collaborate on projects involving language modeling, machine translation, and POS tagging to create more efficient and accurate NLP solutions."
J0009,Applications (Other),"['Clinical Data Analysis', 'Fairness in ML', 'Federated Learning', 'Statistical Modeling', 'Forecasting', 'A/B Testing', 'Time Series Analysis', 'Experimental Design', 'Signal Processing', 'Causal Inference']","['Quantitative Biology', 'Statistics', 'Applied Data Science']",2.23,30,MS1,11,2,Online,2,"As a Data Scientist in the Applications (Other) industry, the candidate will be responsible for analyzing clinical data and developing statistical models to ensure fairness in machine learning algorithms. They will also work on implementing federated learning techniques, forecasting, A/B testing, and time series analysis. The candidate will design experimental setups, employ signal processing methods, and apply causal inference to make informed decisions and improve the performance of the models."
J0010,Robotics,"['Robot Learning', 'Computer Vision for Robotics', 'Dynamics Modeling', 'Inverse Kinematics', 'Manipulation', 'Trajectory Optimization', 'Navigation', 'State Estimation', 'Particle Filters', 'SLAM']","['Computer Science', 'Applied Math', 'Statistics']",2.45,4,UG3,2,1,Online,0,"As a Robotics Engineer, the candidate will be responsible for designing, developing, and implementing advanced algorithms for robot learning, computer vision, and dynamics modeling. They will work on tasks such as inverse kinematics, manipulation, trajectory optimization, and navigation, utilizing techniques like particle filters, SLAM, and state estimation. The candidate will also contribute to the development of robust and efficient robotic systems for various applications."
J0011,Applications (Other),"['Forecasting', 'Data Privacy', 'Statistical Modeling', 'Federated Learning', 'Time Series Analysis', 'Survival Analysis', 'Explainable AI', 'Epidemiology', 'Anomaly Detection', 'HIPAA Compliance']","['Electrical Engineering', 'Economics', 'Applied Math']",2.39,8,MS1,37,2,No Preference,0,"As a Data Scientist in the Applications (Other) industry, the successful candidate will be responsible for developing and implementing statistical models for forecasting and anomaly detection in a federated learning environment. The candidate will ensure data privacy and compliance with regulations such as HIPAA, while also focusing on explainable AI and epidemiology to improve the interpretability and reliability of the models. Additionally, the candidate will work on time series analysis and survival analysis to gain insights into the longevity and patterns of various datasets."
J0012,Applications (Other),"['Bioinformatics', 'HIPAA Compliance', 'Drug Discovery', 'Clinical Data Analysis', 'Forecasting', 'Data Privacy', 'Medical Imaging', 'Statistical Modeling', 'Survival Analysis', 'Causal Inference']","['Applied Math', 'Economics', 'Electrical Engineering']",3.44,6,UG2,13,2,Online,1,"As a Bioinformatics Specialist in our dynamic Applications team, you will be responsible for leveraging your expertise in drug discovery, clinical data analysis, and statistical modeling to develop and implement innovative solutions for our life sciences clients. You will work on projects that involve HIPAA compliance, data privacy, and medical imaging, ensuring the secure handling and analysis of sensitive patient data. Additionally, you will contribute to forecasting, survival analysis, and causal inference to drive evidence-based decision-making and contribute to the advancement of drug development and clinical research."
