user,item,label_pref
S3657,J0036,1
S3657,J0004,0
S3657,J0007,0
S3657,J0011,0
S3657,J0012,0
S3657,J0014,0
S3657,J0015,0
S3657,J0016,0
S3657,J0017,0
S3657,J0018,0
S3657,J0019,0
S3657,J0022,0
S3657,J0023,0
S3657,J0025,0
S3657,J0026,0
S3657,J0027,0
S3657,J0028,0
S3657,J0029,0
S3657,J0030,0
S3657,J0031,0
S3657,J0032,0
S3657,J0035,0
S3657,J0041,0
S3657,J0044,0
S3657,J0046,0
S3657,J0047,0
S3657,J0048,0
S3657,J0051,0
S3657,J0052,0
S3657,J0053,0
S3657,J0054,0
S3657,J0055,0
S3657,J0056,0
S3657,J0059,0
S3657,J0060,0
S3657,J0061,0
S3657,J0062,0
S3657,J0063,0
S3657,J0064,0
S3657,J0065,0
S3657,J0067,0
S3657,J0069,0
S3657,J0070,0
S3657,J0071,0
S3657,J0072,0
S3657,J0073,0
S3657,J0076,0
S3657,J0077,0
S3657,J0078,0
S3657,J0080,0
S0929,J0064,1
S0929,J0002,0
S0929,J0006,0
S0929,J0012,0
S0929,J0013,0
S0929,J0016,0
S0929,J0017,0
S0929,J0018,0
S0929,J0019,0
S0929,J0020,0
S0929,J0022,0
S0929,J0023,0
S0929,J0024,0
S0929,J0025,0
S0929,J0027,0
S0929,J0028,0
S0929,J0029,0
S0929,J0032,0
S0929,J0033,0
S0929,J0034,0
S0929,J0035,0
S0929,J0036,0
S0929,J0037,0
S0929,J0038,0
S0929,J0041,0
S0929,J0043,0
S0929,J0044,0
S0929,J0045,0
S0929,J0048,0
S0929,J0051,0
S0929,J0053,0
S0929,J0054,0
S0929,J0055,0
S0929,J0057,0
S0929,J0058,0
S0929,J0059,0
S0929,J0060,0
S0929,J0061,0
S0929,J0063,0
S0929,J0065,0
S0929,J0066,0
S0929,J0067,0
S0929,J0069,0
S0929,J0070,0
S0929,J0072,0
S0929,J0074,0
S0929,J0075,0
S0929,J0076,0
S0929,J0077,0
S0929,J0080,0
S2063,J0065,1
S2063,J0070,0
S2063,J0072,0
S2063,J0076,0
S2063,J0077,0
S2063,J0078,0
S2063,J0080,0
S2063,J0082,0
S2063,J0087,0
S2063,J0088,0
S2063,J0090,0
S2063,J0092,0
S2063,J0095,0
S2063,J0098,0
S2063,J0099,0
S2063,J0001,0
S2063,J0002,0
S2063,J0003,0
S2063,J0004,0
S2063,J0006,0
S2063,J0009,0
S2063,J0010,0
S2063,J0011,0
